fixture_id,seed_id,mutation_chain_id,depth,chain_depth,mutation_node_sequence,final_theory_hash,perturbation_class,label,ground_truth_label,repairable,source,split,verifier_status,verifier_config_hash,pair_origin,orbit_id_a,orbit_id_b,generation_depth_a,generation_depth_b,pair_generation_depth_max,pair_generation_depth_delta,pair_swapped,failed_obligation_names,failed_obligation_categories,n_gauge_nodes,n_fields,n_superpotential_terms,max_superpotential_monomial_length,n_r_charge_bearing_fields,input_token_estimate,theory_a_path,theory_b_path
dp0_toric_N3_d2_node0_positive_00,2883051464,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,positive,CERTIFIED,dual,0,dp0_toric,dev,CERTIFIED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,,,3,24,21,3,24,1097,theories/dp0_toric_N3_d2_node0_positive_00.A.json,theories/dp0_toric_N3_d2_node0_positive_00.B.json
dp0_toric_N3_d2_node0_drop_w_term_00,2210518401,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,drop_w_term,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,24,20,3,24,1081,theories/dp0_toric_N3_d2_node0_drop_w_term_00.A.json,theories/dp0_toric_N3_d2_node0_drop_w_term_00.B.json
dp0_toric_N3_d2_node0_drop_w_term_01,2547570746,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,drop_w_term,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,24,20,3,24,1081,theories/dp0_toric_N3_d2_node0_drop_w_term_01.A.json,theories/dp0_toric_N3_d2_node0_drop_w_term_01.B.json
dp0_toric_N3_d2_node0_drop_w_term_02,3481711259,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,drop_w_term,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,24,20,3,24,1081,theories/dp0_toric_N3_d2_node0_drop_w_term_02.A.json,theories/dp0_toric_N3_d2_node0_drop_w_term_02.B.json
dp0_toric_N3_d2_node0_drop_w_term_03,4256126489,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,drop_w_term,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,24,20,3,24,1081,theories/dp0_toric_N3_d2_node0_drop_w_term_03.A.json,theories/dp0_toric_N3_d2_node0_drop_w_term_03.B.json
dp0_toric_N3_d2_node0_flip_w_sign_00,1124272613,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,flip_w_sign,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,24,21,3,24,1097,theories/dp0_toric_N3_d2_node0_flip_w_sign_00.A.json,theories/dp0_toric_N3_d2_node0_flip_w_sign_00.B.json
dp0_toric_N3_d2_node0_flip_w_sign_03,828990248,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,flip_w_sign,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,bounded chiral-ring consistency,chiral_ring,3,24,21,3,24,1097,theories/dp0_toric_N3_d2_node0_flip_w_sign_03.A.json,theories/dp0_toric_N3_d2_node0_flip_w_sign_03.B.json
dp0_toric_N3_d2_node0_r_charge_perturb_00,507969726,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,r_charge_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge-global mixed anomaly cancellation;magnetic superpotential consistency;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;superpotential;anomaly;r_charge,3,24,21,3,24,1097,theories/dp0_toric_N3_d2_node0_r_charge_perturb_00.A.json,theories/dp0_toric_N3_d2_node0_r_charge_perturb_00.B.json
dp0_toric_N3_d2_node0_r_charge_perturb_01,1069260539,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,r_charge_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge-global mixed anomaly cancellation;magnetic superpotential consistency;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;superpotential;anomaly;r_charge,3,24,21,3,24,1097,theories/dp0_toric_N3_d2_node0_r_charge_perturb_01.A.json,theories/dp0_toric_N3_d2_node0_r_charge_perturb_01.B.json
dp0_toric_N3_d2_node0_r_charge_perturb_02,1895452261,dp0_toric:s1673993583:d2:nodes[0-1]:a92580fb3e96,2,2,0-1,a92580fb3e9672ba7bc6b9064e2196cd98acec9125b2c314b6f9c87524073851,r_charge_perturb,FAILED,not_dual,1,dp0_toric,dev,FAILED,02feb2e5cdbdb55f08ef51df90a25e2c310d78bd46a0c853c4bdadf74829fc96,,,,,,,,,magnetic gauge-global mixed anomaly cancellation;magnetic superpotential consistency;global anomaly matching;central charge matching from encoded R-symmetry,anomaly;superpotential;anomaly;r_charge,3,24,21,3,24,1097,theories/dp0_toric_N3_d2_node0_r_charge_perturb_02.A.json,theories/dp0_toric_N3_d2_node0_r_charge_perturb_02.B.json
